filename,label,components
composite_by_dominant/Mg/Mg_0000.png,Mg,Mg;Mn
composite_by_dominant/Si/Si_0000.png,Si,Mn;Si
composite_by_dominant/V/V_0000.png,V,S;He;V
composite_by_dominant/Ca/Ca_0000.png,Ca,Na;He;Ca
composite_by_dominant/Mn/Mn_0000.png,Mn,S;Mn;P;Na
composite_by_dominant/Li/Li_0000.png,Li,S;P;Li
composite_by_dominant/Al/Al_0000.png,Al,Al;Mg
composite_by_dominant/Ca/Ca_0001.png,Ca,Ca;Si
composite_by_dominant/Ti/Ti_0000.png,Ti,Ti;Si;Cr;C
composite_by_dominant/Mg/Mg_0001.png,Mg,Mg;Li
composite_by_dominant/S/S_0000.png,S,S;Na
composite_by_dominant/Cr/Cr_0000.png,Cr,He;S;Cr
composite_by_dominant/S/S_0001.png,S,Fe;S;N;Al
composite_by_dominant/Mg/Mg_0002.png,Mg,Mn;Mg;N;H
composite_by_dominant/Mn/Mn_0001.png,Mn,Mg;Mn
composite_by_dominant/Si/Si_0001.png,Si,H;Si;Al
composite_by_dominant/Si/Si_0002.png,Si,C;Si;N;Cr
composite_by_dominant/P/P_0000.png,P,N;P
composite_by_dominant/C/C_0000.png,C,Li;C;V;Ti
composite_by_dominant/O/O_0000.png,O,O;V;Mg;Mn
composite_by_dominant/He/He_0000.png,He,Sc;He
composite_by_dominant/V/V_0001.png,V,Mn;Na;V
composite_by_dominant/Si/Si_0003.png,Si,N;Na;Al;Si
composite_by_dominant/Si/Si_0004.png,Si,Mn;O;P;Si
composite_by_dominant/He/He_0001.png,He,He;Li
composite_by_dominant/Mn/Mn_0002.png,Mn,Mn;H;O
composite_by_dominant/N/N_0000.png,N,Mn;N
composite_by_dominant/O/O_0001.png,O,O;S;Mn
composite_by_dominant/Al/Al_0001.png,Al,C;Ti;Sc;Al
composite_by_dominant/P/P_0001.png,P,Al;P
composite_by_dominant/V/V_0002.png,V,Al;V;S
composite_by_dominant/Fe/Fe_0000.png,Fe,Fe;Mg;S
composite_by_dominant/Sc/Sc_0000.png,Sc,Mg;He;Sc;H
composite_by_dominant/Ca/Ca_0002.png,Ca,Ca;P
composite_by_dominant/Cr/Cr_0001.png,Cr,Cr;Sc;Al
composite_by_dominant/He/He_0002.png,He,O;N;He;Na
composite_by_dominant/S/S_0002.png,S,Li;S
composite_by_dominant/He/He_0003.png,He,He;N;H;V
composite_by_dominant/Mn/Mn_0003.png,Mn,Si;O;Cr;Mn
composite_by_dominant/S/S_0003.png,S,Fe;S
composite_by_dominant/Cr/Cr_0002.png,Cr,Cr;Al;Ti
composite_by_dominant/Ti/Ti_0001.png,Ti,Ti;Mn;Si;V
composite_by_dominant/Si/Si_0005.png,Si,Si;O;P;Cr
composite_by_dominant/Si/Si_0006.png,Si,Li;Si;Na
composite_by_dominant/Ca/Ca_0003.png,Ca,Ca;He
composite_by_dominant/Mg/Mg_0003.png,Mg,N;S;Si;Mg
composite_by_dominant/Sc/Sc_0001.png,Sc,Si;Sc;H
composite_by_dominant/Cr/Cr_0003.png,Cr,V;Cr;C;Li
composite_by_dominant/O/O_0002.png,O,Mn;O
composite_by_dominant/O/O_0003.png,O,N;O;Ca
composite_by_dominant/Al/Al_0002.png,Al,S;N;Si;Al
composite_by_dominant/H/H_0000.png,H,Cr;C;H
composite_by_dominant/N/N_0001.png,N,Ca;Cr;N;Al
composite_by_dominant/Ti/Ti_0002.png,Ti,Sc;Ti
composite_by_dominant/He/He_0004.png,He,He;Na;N
composite_by_dominant/Al/Al_0003.png,Al,Al;He
composite_by_dominant/Al/Al_0004.png,Al,Ca;Al;Mg
composite_by_dominant/Al/Al_0005.png,Al,Mn;Al;Ti
composite_by_dominant/Sc/Sc_0002.png,Sc,Ca;Sc
composite_by_dominant/Cr/Cr_0004.png,Cr,N;Cr;S;Fe
composite_by_dominant/V/V_0003.png,V,He;V
composite_by_dominant/Mg/Mg_0004.png,Mg,Li;Mg;Na
composite_by_dominant/Ca/Ca_0004.png,Ca,Ca;Al
composite_by_dominant/He/He_0005.png,He,He;Na;Cr;Ti
composite_by_dominant/Cr/Cr_0005.png,Cr,Cr;P;Fe
composite_by_dominant/Si/Si_0007.png,Si,Si;N
composite_by_dominant/Na/Na_0000.png,Na,Cr;C;Na;V
composite_by_dominant/Mn/Mn_0004.png,Mn,Mg;N;Ca;Mn
composite_by_dominant/Al/Al_0006.png,Al,Al;P
composite_by_dominant/V/V_0004.png,V,Ti;V
composite_by_dominant/V/V_0005.png,V,Al;O;V
composite_by_dominant/Na/Na_0001.png,Na,Al;Na
composite_by_dominant/N/N_0002.png,N,N;Cr
composite_by_dominant/Li/Li_0001.png,Li,Mn;Li
composite_by_dominant/H/H_0001.png,H,H;Li
composite_by_dominant/C/C_0001.png,C,Li;C;O
composite_by_dominant/Ca/Ca_0005.png,Ca,Ca;Mg
composite_by_dominant/O/O_0004.png,O,N;He;S;O
composite_by_dominant/O/O_0005.png,O,C;O
composite_by_dominant/O/O_0006.png,O,O;Al;Ca
composite_by_dominant/Mg/Mg_0005.png,Mg,Mg;Ca
composite_by_dominant/V/V_0006.png,V,V;Na
composite_by_dominant/O/O_0007.png,O,Sc;V;O;Si
composite_by_dominant/O/O_0008.png,O,O;C;P
composite_by_dominant/Al/Al_0007.png,Al,S;P;Al;Mg
composite_by_dominant/He/He_0006.png,He,Al;Mg;P;He
composite_by_dominant/Cr/Cr_0006.png,Cr,Mg;C;Cr;Al
composite_by_dominant/N/N_0003.png,N,N;O
composite_by_dominant/Sc/Sc_0003.png,Sc,Si;Fe;Sc
composite_by_dominant/Cr/Cr_0007.png,Cr,Cr;Li;N;V
composite_by_dominant/Na/Na_0002.png,Na,Na;He;C
composite_by_dominant/Mn/Mn_0005.png,Mn,Al;Ti;Mn;He
composite_by_dominant/Mn/Mn_0006.png,Mn,Mn;H
composite_by_dominant/Si/Si_0008.png,Si,Mg;Si;Fe;Ti
composite_by_dominant/N/N_0004.png,N,Al;N
composite_by_dominant/He/He_0007.png,He,Cr;P;N;He
composite_by_dominant/C/C_0002.png,C,Sc;C;V
composite_by_dominant/Fe/Fe_0001.png,Fe,Fe;Mn
composite_by_dominant/Li/Li_0002.png,Li,Ca;C;Li
composite_by_dominant/P/P_0002.png,P,H;P
composite_by_dominant/He/He_0008.png,He,C;He;S
composite_by_dominant/Na/Na_0003.png,Na,Na;Li;Fe;Sc
composite_by_dominant/He/He_0009.png,He,V;He
composite_by_dominant/Na/Na_0004.png,Na,Mn;Mg;Fe;Na
composite_by_dominant/Ca/Ca_0006.png,Ca,Ca;Li;Ti
composite_by_dominant/C/C_0003.png,C,O;C;Li;P
composite_by_dominant/N/N_0005.png,N,Al;N;V;C
composite_by_dominant/Cr/Cr_0008.png,Cr,H;Cr;Al;Li
composite_by_dominant/V/V_0007.png,V,V;Si;O;Cr
composite_by_dominant/Fe/Fe_0002.png,Fe,Fe;Ti
composite_by_dominant/P/P_0003.png,P,Si;P;Ti
composite_by_dominant/V/V_0008.png,V,S;Cr;V;Mn
composite_by_dominant/Ti/Ti_0003.png,Ti,Si;Ti
composite_by_dominant/Li/Li_0003.png,Li,Li;Si;O;Ca
composite_by_dominant/Ti/Ti_0004.png,Ti,Ti;Ca
composite_by_dominant/N/N_0006.png,N,C;N
composite_by_dominant/Li/Li_0004.png,Li,Li;Ca;C;Sc
composite_by_dominant/Al/Al_0008.png,Al,Si;Ti;N;Al
composite_by_dominant/Li/Li_0005.png,Li,Li;Sc
composite_by_dominant/Si/Si_0009.png,Si,V;O;Sc;Si
composite_by_dominant/Mn/Mn_0007.png,Mn,Mn;Na;Al
composite_by_dominant/Na/Na_0005.png,Na,Na;Mg;C
composite_by_dominant/Cr/Cr_0009.png,Cr,Si;Mn;Cr
composite_by_dominant/Al/Al_0009.png,Al,S;Al
composite_by_dominant/N/N_0007.png,N,N;Cr
composite_by_dominant/P/P_0004.png,P,He;P
composite_by_dominant/Ca/Ca_0007.png,Ca,Ca;Cr
composite_by_dominant/Al/Al_0010.png,Al,Al;Mn
composite_by_dominant/Fe/Fe_0003.png,Fe,Cr;V;Fe;Si
composite_by_dominant/H/H_0002.png,H,H;Ti;Si
composite_by_dominant/Na/Na_0006.png,Na,Ti;O;Na
composite_by_dominant/Li/Li_0006.png,Li,Ca;Li
composite_by_dominant/Fe/Fe_0004.png,Fe,Fe;Mn
composite_by_dominant/Mn/Mn_0008.png,Mn,Mn;Mg;Sc
composite_by_dominant/S/S_0004.png,S,Ti;S;P
composite_by_dominant/Li/Li_0007.png,Li,Mg;Si;Li
composite_by_dominant/Ca/Ca_0008.png,Ca,Sc;Mg;Ca;Al
composite_by_dominant/Al/Al_0011.png,Al,Al;Fe;Mn
composite_by_dominant/H/H_0003.png,H,H;P;Mg
composite_by_dominant/O/O_0009.png,O,C;O;Mg
composite_by_dominant/Sc/Sc_0004.png,Sc,Sc;Ca
composite_by_dominant/Li/Li_0008.png,Li,Sc;Li
composite_by_dominant/Ca/Ca_0009.png,Ca,Sc;O;Ca
composite_by_dominant/Si/Si_0010.png,Si,Al;Si;Fe
composite_by_dominant/Al/Al_0012.png,Al,Cr;Al
composite_by_dominant/S/S_0005.png,S,N;S
composite_by_dominant/O/O_0010.png,O,Li;O
composite_by_dominant/N/N_0008.png,N,Sc;N;S;Mn
composite_by_dominant/Na/Na_0007.png,Na,Na;Sc;C
